##################################################
#area [0, MAX_X] x [0, MAX_Y]
1000	1000
#number of points NUM_PT
1000
#coordinates
897	802
765	992
1	521
220	380
729	969
184	887
104	641
909	378
724	582
387	583
241	294
159	198
653	369
418	692
36	901
516	623
703	971
304	394
491	525
464	219
183	648
796	287
979	395
356	702
667	743
976	908
728	134
106	380
193	214
71	920
114	587
543	817
248	537
901	739
752	364
649	626
702	444
913	681
529	959
72	196
392	738
103	119
872	900
189	65
113	260
985	228
537	217
735	785
445	636
214	196
690	553
822	392
687	425
763	216
73	525
412	155
263	205
965	825
105	153
580	218
103	255
136	641
472	872
115	607
197	19
494	577
572	5
659	259
120	421
165	194
637	577
39	900
472	4
724	577
157	304
486	261
249	312
592	411
874	397
18	70
417	512
338	679
517	997
938	328
418	793
522	745
59	561
644	532
255	57
108	413
51	284
364	300
597	646
712	470
42	730
231	459
932	569
829	138
565	766
466	673
559	678
417	618
930	751
840	184
809	639
287	550
923	341
851	209
987	252
370	29
672	601
178	603
860	6
431	114
463	588
788	712
956	895
19	575
336	860
760	835
498	737
384	110
78	925
320	755
176	690
784	848
981	653
140	840
659	262
954	812
850	431
523	495
16	233
70	352
92	520
877	280
256	260
390	24
185	400
780	51
89	253
900	760
906	730
599	565
992	243
66	531
364	590
26	380
823	787
422	605
306	298
885	562
249	965
277	124
365	56
175	144
309	765
595	215
495	884
470	176
126	536
398	181
816	114
251	328
901	674
933	206
662	507
458	601
162	735
725	217
481	591
51	791
355	646
696	540
530	165
717	346
391	114
527	898
228	779
225	819
142	849
24	494
45	172
95	207
908	510
424	78
100	166
869	456
812	254
996	341
109	402
688	501
206	905
398	124
373	313
943	515
161	657
700	898
830	795
104	427
995	219
505	95
385	64
241	196
318	927
228	428
329	606
619	535
200	707
660	574
19	292
88	872
950	788
769	779
272	563
896	267
782	400
52	857
154	293
744	473
219	972
591	238
267	209
464	467
916	814
40	625
105	820
496	54
297	264
523	570
828	418
527	299
509	269
156	663
562	900
826	471
561	416
710	828
315	864
985	230
677	25
856	782
535	41
527	832
306	49
91	824
158	618
122	357
887	969
710	138
868	536
610	118
642	9
946	958
873	931
878	549
646	733
20	180
775	547
11	771
287	103
594	135
411	406
492	989
375	201
817	933
427	116
51	69
125	687
717	688
307	594
927	643
17	638
823	482
184	525
943	161
318	226
296	419
632	478
97	697
370	915
320	797
30	371
556	847
748	272
224	746
557	151
388	264
789	211
746	663
426	688
825	744
914	811
853	235
980	951
933	349
865	252
836	585
313	392
431	751
354	656
496	601
497	885
865	976
786	300
638	211
678	152
645	281
654	187
517	633
137	139
672	692
81	507
968	84
589	398
835	944
744	331
234	931
906	99
906	691
89	234
592	768
386	927
48	730
113	255
362	942
394	33
323	165
231	290
249	820
379	775
763	813
796	688
744	701
787	339
81	566
573	363
333	650
980	382
379	783
327	432
724	722
155	47
577	386
27	827
206	406
601	659
219	86
346	963
787	823
301	558
389	565
921	412
214	590
484	283
372	812
715	787
533	871
524	109
947	551
626	843
958	917
502	176
2	538
829	479
51	820
36	130
384	647
542	288
236	26
572	609
838	977
395	60
537	919
860	484
159	486
326	116
92	518
983	95
747	501
264	798
321	301
928	395
948	469
374	875
185	636
173	22
612	568
82	149
176	633
323	335
118	339
142	901
858	124
686	604
626	951
91	637
251	709
722	889
177	95
453	363
731	626
75	33
193	849
182	59
481	505
395	289
844	537
189	391
351	876
685	667
826	466
994	767
174	716
345	352
501	799
405	923
424	480
956	308
18	828
367	499
22	452
788	556
679	978
638	30
543	322
697	368
789	691
825	653
96	169
4	287
968	99
209	392
270	855
700	288
682	757
788	394
209	265
951	888
242	588
918	785
600	305
843	78
686	667
732	472
837	426
759	494
216	969
886	486
513	275
464	886
32	942
279	932
207	920
819	449
197	427
925	798
422	457
566	107
124	988
579	651
414	337
144	320
996	721
806	509
686	960
394	408
902	363
339	108
283	849
247	480
275	862
968	697
319	224
494	133
211	763
784	315
99	618
635	786
28	130
985	715
90	68
122	992
431	152
99	404
0	36
575	275
899	542
662	217
456	846
350	668
608	824
673	707
131	308
182	160
438	166
